capteur_1_t1,capteur_2_t1,capteur_3_t1,capteur_4_t1,capteur_5_t1,capteur_6_t1,classe
486,0,537,35,0,417,Standard
479,0,528,34,0,407,Standard
494,0,521,22,0,407,Standard
484,9,503,18,0,396,Standard
495,14,474,13,0,402,Standard
497,8,465,11,0,410,Standard
497,30,452,2,0,400,Standard
491,39,458,9,0,413,Standard
496,40,429,12,0,406,Standard
498,62,416,0,0,400,Standard
503,104,394,0,0,397,Standard
500,122,386,0,0,400,Standard
496,139,383,0,0,405,Standard
494,144,373,0,0,409,Standard
496,144,357,0,0,401,Standard
501,151,346,0,0,409,Standard
507,171,319,0,0,395,Standard
503,179,336,0,0,392,Standard
503,176,335,0,0,387,Standard
506,180,341,0,0,389,Standard
499,171,352,0,0,394,Standard
497,132,385,0,0,408,Standard
511,15,427,0,0,419,Standard
511,0,435,0,0,431,Standard
511,0,448,0,0,459,Standard
496,10,433,0,0,466,Standard
478,53,438,0,0,495,Standard
462,64,431,0,0,511,Standard
463,18,445,0,0,528,Standard
460,16,448,0,0,540,Standard
464,21,445,0,0,530,Standard
461,45,442,0,0,533,Standard
456,74,432,0,0,530,Standard
456,79,421,0,0,528,Standard
461,102,410,0,0,541,Standard
460,102,401,0,0,552,Standard
455,101,403,0,0,570,Standard
453,95,395,0,0,575,Standard
449,96,390,0,0,576,Standard
450,106,397,0,0,584,Standard
448,88,397,0,0,587,Standard
448,90,399,0,0,581,Standard
448,94,399,0,0,582,Standard
444,98,402,0,0,555,Standard
451,96,402,0,0,536,Standard
451,94,406,0,0,559,Standard
451,101,400,0,0,575,Standard
448,99,403,0,0,592,Standard
447,95,411,0,0,592,Standard
440,93,415,0,0,592,Standard
442,96,417,0,0,592,Standard
437,97,408,0,0,578,Standard
449,90,413,0,0,567,Standard
455,81,418,0,0,547,Standard
455,92,419,0,0,551,Standard
455,80,417,0,0,557,Standard
448,94,416,0,0,566,Standard
447,82,418,0,0,579,Standard
446,95,414,0,0,583,Standard
442,97,413,0,0,590,Standard
441,98,410,0,0,586,Standard
444,109,413,0,0,583,Standard
443,103,411,0,0,562,Standard
458,79,425,0,0,546,Standard
473,38,432,0,0,510,Standard
467,43,432,0,0,510,Standard
469,48,439,0,0,531,Standard
464,32,437,0,0,534,Standard
454,34,443,0,0,546,Standard
465,44,446,0,0,490,Standard
466,46,449,0,0,462,Standard
487,28,455,0,0,418,Standard
469,146,426,0,0,387,Standard
475,165,429,0,0,381,Standard
468,167,433,0,0,376,Standard
465,163,442,0,0,375,Standard
467,173,448,0,0,369,Standard
466,174,454,0,0,367,Standard
464,172,451,0,0,367,Standard
464,164,455,1,0,361,Standard
465,162,461,0,0,355,Standard
468,159,464,7,0,347,Standard
467,147,471,17,0,341,Standard
465,144,483,27,0,343,Standard
464,147,481,17,0,341,Standard
471,132,482,17,0,339,Standard
476,139,455,13,0,336,Standard
489,162,433,9,0,323,Standard
497,175,419,0,0,334,Standard
509,152,419,16,0,336,Standard
528,62,435,14,0,354,Standard
545,7,434,28,0,352,Standard
542,13,453,22,0,361,Standard
493,0,524,27,0,351,Standard
